query,BiGG_ID,hit,mol_weight,conc_ppm_Bact_Peptone_L37,conc_ppm_Proteose_Peptone_L85,conc_ppm_soya_peptone_L44,conc_ppm_yeast_extract,g/L,mmol/L
Reduced riboflavin,rbflvrd(e),Riboflavin reduced,378.4,0,0,2750,0,0,0
Riboflavin,ribflv(e),Riboflavin,376.3639,0,0,2750,0,0,0
L-Serine,ser_L(e),L-Serine,105.09262,28100,21800,6700,34200,0,0
Sulfate,so4(e),Sulfate,98.07948,10000,0,0,0,0,0
"starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})",strch1(e),,359.33,10000,0,0,0,0,0
Taurine,taur(e),Taurine,125.148,1000,1000,1000,1000,0,0
Thiamin,thm(e),Thiamine,265.35574,1000,1000,1000,1000,0,0
L-Threonine,thr_L(e),L-Threonine,119.1192,12500,27500,16800,27300,0,0
L-Tryptophan,trp_L(e),L-Tryptophan,204.22526,6600,7500,6400,8500,0,0
L-Tyrosine,tyr_L(e),L-Tyrosine,181.18858,3900,17700,20900,49500,0,0
Uracil,ura(e),Uracil,112.08684,1000,1000,1000,1000,0,0
L-Valine,val_L(e),L-Valine,117.14638,33300,41100,36500,10000,0,0
